SIM,PCA_components,kernel,C,gamma,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
97,no_pca,linear,0.01,auto,0.7230065619407436,0.6765730206640352,0.8363949483352469,0.5680311890838207,0.7305699481865285,0.23529411764705882,0.25,0.2222222222222222,0.7931034482758621,0.7303370786516854,0.6435643564356436,0.8441558441558441
98,no_pca,linear,0.01,0.001,0.7230065619407436,0.6765730206640352,0.8363949483352469,0.5680311890838207,0.7305699481865285,0.23529411764705882,0.25,0.2222222222222222,0.7931034482758621,0.7303370786516854,0.6435643564356436,0.8441558441558441
99,no_pca,linear,0.01,0.01,0.7230065619407436,0.6765730206640352,0.8363949483352469,0.5680311890838207,0.7305699481865285,0.23529411764705882,0.25,0.2222222222222222,0.7931034482758621,0.7303370786516854,0.6435643564356436,0.8441558441558441
100,no_pca,linear,0.01,0.1,0.7230065619407436,0.6765730206640352,0.8363949483352469,0.5680311890838207,0.7305699481865285,0.23529411764705882,0.25,0.2222222222222222,0.7931034482758621,0.7303370786516854,0.6435643564356436,0.8441558441558441
101,no_pca,linear,0.01,1,0.7230065619407436,0.6765730206640352,0.8363949483352469,0.5680311890838207,0.7305699481865285,0.23529411764705882,0.25,0.2222222222222222,0.7931034482758621,0.7303370786516854,0.6435643564356436,0.8441558441558441
102,no_pca,linear,0.001,scale,0.6124478027440843,0.3997536187249769,0.9516129032258065,0.2530214424951267,0.7668393782383419,0.08163265306122448,0.15384615384615385,0.05555555555555555,0.6767241379310345,0.27184466019417475,0.5384615384615384,0.18181818181818182
103,no_pca,linear,0.001,auto,0.6124478027440843,0.3997536187249769,0.9516129032258065,0.2530214424951267,0.7668393782383419,0.08163265306122448,0.15384615384615385,0.05555555555555555,0.6767241379310345,0.27184466019417475,0.5384615384615384,0.18181818181818182
104,no_pca,linear,0.001,0.001,0.6124478027440843,0.3997536187249769,0.9516129032258065,0.2530214424951267,0.7668393782383419,0.08163265306122448,0.15384615384615385,0.05555555555555555,0.6767241379310345,0.27184466019417475,0.5384615384615384,0.18181818181818182
105,no_pca,linear,0.001,0.01,0.6124478027440843,0.3997536187249769,0.9516129032258065,0.2530214424951267,0.7668393782383419,0.08163265306122448,0.15384615384615385,0.05555555555555555,0.6767241379310345,0.27184466019417475,0.5384615384615384,0.18181818181818182
106,no_pca,linear,0.001,0.1,0.6124478027440843,0.3997536187249769,0.9516129032258065,0.2530214424951267,0.7668393782383419,0.08163265306122448,0.15384615384615385,0.05555555555555555,0.6767241379310345,0.27184466019417475,0.5384615384615384,0.18181818181818182
107,no_pca,linear,0.001,1,0.6124478027440843,0.3997536187249769,0.9516129032258065,0.2530214424951267,0.7668393782383419,0.08163265306122448,0.15384615384615385,0.05555555555555555,0.6767241379310345,0.27184466019417475,0.5384615384615384,0.18181818181818182
108,no_pca,sigmoid,20.0,scale,0.5875919665937562,0.592374213836478,0.5973047958779231,0.5875243664717349,0.5233160621761658,0.25806451612903225,0.18181818181818182,0.4444444444444444,0.5646551724137931,0.48205128205128206,0.3983050847457627,0.6103896103896104
109,no_pca,sigmoid,20.0,auto,0.5875919665937562,0.592374213836478,0.5973047958779231,0.5875243664717349,0.5233160621761658,0.25806451612903225,0.18181818181818182,0.4444444444444444,0.5646551724137931,0.48205128205128206,0.3983050847457627,0.6103896103896104
110,no_pca,sigmoid,20.0,0.001,0.5875919665937562,0.592374213836478,0.5973047958779231,0.5875243664717349,0.5233160621761658,0.25806451612903225,0.18181818181818182,0.4444444444444444,0.5646551724137931,0.48205128205128206,0.3983050847457627,0.6103896103896104
111,no_pca,sigmoid,20.0,0.01,0.5875919665937562,0.592374213836478,0.5973047958779231,0.5875243664717349,0.5233160621761658,0.25806451612903225,0.18181818181818182,0.4444444444444444,0.5646551724137931,0.48205128205128206,0.3983050847457627,0.6103896103896104
112,no_pca,sigmoid,20.0,0.1,0.5875919665937562,0.592374213836478,0.5973047958779231,0.5875243664717349,0.5233160621761658,0.25806451612903225,0.18181818181818182,0.4444444444444444,0.5646551724137931,0.48205128205128206,0.3983050847457627,0.6103896103896104
