Flow_ID,Duration_s,Total_Packets,Bytes_AB,Bytes_BA,Mean_Pkt_Len,STD_IAT,Kurtosis_IAT,Skewness_Pkt_Len,Direction_Ratio,Label
7516640526255871,0.421103,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3250628452363798,0.420931,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
7735044158271518,0.421042,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9353049472495757,0.420732,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6421556138519036,0.411479,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6693053407538850,0.410980,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6948122109589997,0.415698,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1219877097671666,0.415388,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5420167941100103,0.420244,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2840500623554163,0.419829,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2112274849115956,0.419508,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
7672590751307442,0.421007,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2476112297428520,0.420680,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9133202829082527,0.420589,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
620706019453118,0.420092,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3705464569487951,0.419956,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4974080997920503,0.419627,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6380670161912940,0.015735,24,5469,7178,526.958333,0.000740,2.398699,2.289582,0.500000,4
757859362489524,0.416080,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2882375523983548,0.415793,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2996156629742586,0.420403,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5692389146383612,0.420101,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
7846272958707498,0.419494,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8308492696658656,0.418991,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2819948130178603,0.424097,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2560506672457301,0.423660,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
125514934221306,0.420884,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5587707446083062,100.384397,4,256,0,64.000000,46.726571,0.000000,,1.000000,4
5572633624909103,0.421036,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1493027303905322,0.421023,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4275129899649584,0.420983,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4466020829928799,0.420493,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4644061033690063,0.411859,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2156947057407483,0.411557,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
848975387737277,0.420975,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1493514707805810,0.420458,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2343000192540440,0.420833,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1975548314632266,0.420339,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3321143576587090,0.411541,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9517376995281979,0.411036,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8297803944131999,0.000000,1,243,0,243.000000,0.000000,0.000000,0.000000,1.000000,4
13916814227762,0.420925,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2766203330053462,0.420504,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2689487188725618,0.420924,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9667974308355062,0.420437,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5185840909901490,0.404950,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4312211208591067,0.404642,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
7786859351675237,0.015761,9,284,246,58.888889,0.004616,3.118587,0.416040,0.555556,4
3579127275412103,0.420854,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5304148521896200,0.420083,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
732369644266545,0.000535,2,121,124,122.500000,0.000000,0.000000,0.000000,0.500000,4
8532458689525634,0.420994,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1798561479143011,0.420644,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2581409947090688,0.421001,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3518469200579910,0.420498,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
74873872652413,0.046380,25,8984,6565,621.960000,0.004825,13.276232,2.269536,0.480000,4
5975482164913455,0.420991,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
7494693055456510,0.420754,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2717800744918739,0.000402,2,74,124,99.000000,0.000000,0.000000,0.000000,0.500000,4
2340272332453291,0.000349,2,74,124,99.000000,0.000000,0.000000,0.000000,0.500000,4
5950959087136932,0.420315,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8028453779396430,0.420222,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9532126150731223,0.000301,2,74,124,99.000000,0.000000,0.000000,0.000000,0.500000,4
3320410526103191,0.000284,2,74,124,99.000000,0.000000,0.000000,0.000000,0.500000,4
7216067495949849,0.420171,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2617494625473603,0.419861,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5304224251553478,0.411616,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
